메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
디카페인 카라멜마끼아또,232.9,26.3,8.2,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20230217171859_1676621939471_NuwLhHs7Mt.jpg
디카페인 카페모카,319.7,32.6,21.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20230217172044_1676622044889_45ysZTqQhO.jpg
디카페인 티라미수라떼,404.3,37.5,13.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20230217172430_1676622270158_zAinQ9JkHT.jpg
딸기쿠키프라페,564.1,56.7,3.6,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630172226_1656577346336_z_d4URoCvB.jpg
콜드브루디카페인,7.7,0.0,8.7,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701130936_1656648576586_cDwaPJzMuf.jpg
콜드브루디카페인,9.4,0.0,13.0,1,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701130040_1656648040509_vkaQe62807.jpg
콜드브루디카페인라떼,140.8,0.0,9.9,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701131027_1656648627428_DZlDQuVTPz.jpg
콜드브루디카페인라떼,153.8,0.0,14.0,1,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701130758_1656648478213_kK73Ye2YN0.jpg
에스프레소,7.6,0.0,104.0,1,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220818143216_1660800736386_C007eosz5G.jpg
에스프레소 도피오,15.2,0.0,184.0,1,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220818143336_1660800816109_lRozkltILp.jpg
에스프레소 피에노,112.4,4.8,199.0,1,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220818143545_1660800945188_JrLc006dw5.jpg
젤라또 아포가토,155.8,21.1,95.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220818143649_1660801009837_GxHjhUTeIz.jpg
쿠키프라페,640.7,39.4,5.5,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630173946_1656578386691_VAWfjgN1Yy.jpg
고구마라떼,310.5,18.8,0.0,1,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630142911_1656566951186_XCP1O6XaO6.jpg
곡물라떼,389.0,15.3,0.0,1,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701171446_1656663286402_Sjofhjac3j.jpg
메가초코,507.0,31.3,51.0,1,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630143352_1656567232174_qZwhQ3Huxm.jpg
토피넛라떼,368.0,17.8,56.0,1,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701171532_1656663332952_xmIuz0dNC8.jpg
고구마라떼,248.8,21.6,0.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701171750_1656663470713__LDMwpslzS.jpg
곡물라떼,390.4,26.3,0.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630144520_1656567920194_Fn0wniPr9t.jpg
오레오초코라떼,485.6,28.2,23.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630144810_1656568090796_yoHykaK4Ul.jpg
토피넛라떼,364.5,22.5,54.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630145135_1656568295485_eXn10nJFRP.jpg
흑당버블밀크티라떼,330.2,24.4,14.0,1,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630145600_1656568560202_TnZLPbECKx.jpg
핫초코,374.9,23.0,44.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630145844_1656568724979_E9qWySV_oF.jpg
녹차라떼,280.4,14.3,114.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701171458_1656663298267_OwQyhdaVQT.jpg
로얄밀크티라떼,232.0,14.7,106.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630150806_1656569286572_VaQxBbNhem.jpg
흑당라떼,322.0,33.6,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630151108_1656569468030_FRQYHDiaKH.jpg
흑당밀크티라떼,300.5,22.6,30.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630151925_1656569965570_3YpJCpBq_f.jpg
흑당버블라떼,320.3,27.2,0.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630152037_1656570037497_XqHfCbZ65M.jpg
아이스초코,308.0,31.0,48.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630152146_1656570106629_4i6msus9Kh.jpg
녹차라떼,288.5,21.2,135.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630152307_1656570187902_evYKXmfXYZ.jpg
로얄밀크티라떼,254.6,20.2,118.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220701171803_1656663483909_okELc62jVb.jpg
아메리카노,12.2,0.0,204.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630153107_1656570667406_prmnWqNIw2.jpg
티라미수라떼,419.5,38.4,206.0,0,0,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630162136_1656573696857_XMYPwvFhwz.jpg
메가리카노,16.7,0.0,290.0,0,1,https://img.79plus.co.kr/megahp/manager/upload/menu/20220630162318_1656573798017_43JQ0t0JCi.jpg
