메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
청포도 그린티 스무디,255.0,50.0,10.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/abmrkvNqJPFl5IWD_20231115.png
망고스무디,321.0,45.0,0.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/RcbV8hvHI3QMSln6_20231115.png
초콜렛 쿠키 &크림 스무디,406.0,17.0,28.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/tXJ8GISUzd6alnrm_20231115.png
딸기 쥬얼리요구르트 크러쉬,338.0,59.0,8.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/szqDIj06MZkopUnR_20231115.png
초당 옥수수 팝핑 스무디,416.0,43.0,28.0,0,1,https://www.gong-cha.co.kr/uploads/product/20230628/ElLeqNUFt6cTzhBr_20230628.jpg
블랙티 (ice),8.0,0.0,84.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/wExyFjkDrVm0pfAH_20231115.png
블랙티 (hot),8.0,0.0,100.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/wExyFjkDrVm0pfAH_20231115.png
얼그레이티 (ice),8.0,0.0,97.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/NKvm51tbEHdGsSp6_20231115.png
얼그레이티 (hot),6.0,0.0,116.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/NKvm51tbEHdGsSp6_20231115.png
우롱티 (ice),5.0,0.0,65.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/PdvDTfKih9ISZnre_20231115.png
우롱티 (hot),5.0,0.0,78.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/PdvDTfKih9ISZnre_20231115.png
자스민 그린티 (ice),9.0,0.0,81.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/Fa0VU1d63tsiBLyS_20231115.png
자스민 그린티 (hot),7.0,0.0,97.0,0,0,https://www.gong-cha.co.kr/uploads/product/20231115/Fa0VU1d63tsiBLyS_20231115.png
망고요구르트,170.0,31.0,0.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/8N5uOA9EkcsowXn0_20231115.png
망고 주스,130.0,24.0,0.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/KrCTGNVF02tSA8IY_20231115.png
자몽 그린티,58.0,11.0,81.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/zaRILpK8TD2xZQ6s_20231115.png
청포도 그린티,137.0,28.0,81.0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/BYAxKzNdHPauVqJ9_20231115.png
패션 프룻 히비스커스,106.0,20.0,0,0,1,https://www.gong-cha.co.kr/uploads/product/20231115/lpevNQHRDB0i4juF_20231115.png
아메리카노 (ice),5.0,0.0,102.0,1,1,https://www.gong-cha.co.kr/uploads/product/20231115/ioH0Qq6FMw4dmYBs_20231115.png
아메리카노 (hot),5.0,0.0,119.0,1,0,https://www.gong-cha.co.kr/uploads/product/20231115/ioH0Qq6FMw4dmYBs_20231115.png
카페라떼 (ice),132.0,9.0,78.0,1,1,https://www.gong-cha.co.kr/uploads/product/20231115/pQO564mrwiut2aGo_20231115.png
카페라떼 (hot),224.0,13.0,109.0,1,0,https://www.gong-cha.co.kr/uploads/product/20231115/pQO564mrwiut2aGo_20231115.png
바닐라 카페라떼 (ice),232.0,24.0,87.0,1,1,https://www.gong-cha.co.kr/uploads/product/20231115/wNnW19KMBtAmETuJ_20231115.png
바닐라 카페라떼 (hot),329.0,34.0,97.0,1,0,https://www.gong-cha.co.kr/uploads/product/20231115/wNnW19KMBtAmETuJ_20231115.png
공차슈페너,149.0,7.0,130.0,1,1,https://www.gong-cha.co.kr/uploads/product/20231115/3VYse5HWaw4U21jN_20231115.png
