메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
빽사이즈 아이스티샷추가(ICED),297.0,68.0,167.0,1,1,"https://paikdabang.com/wp-content/uploads/2018/01/빽사이즈-아샷추-32oz-450x588.png"""
수정과(HOT),302.0,70.0,0.0,0,0,"https://paikdabang.com/wp-content/uploads/2024/02/수정과_hot-450x588.png"""
수정과(ICED),303.0,66.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2024/02/수정과_iced-450x588.png"""
식혜(ICED),287.0,63.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2022/05/식혜-450x588.png"""
뱅쇼(HOT),223.0,46.0,0.0,0,0,"https://paikdabang.com/wp-content/uploads/2023/11/뱅쇼hot_thumb-450x588.png"""
뱅쇼(ICED),210.0,46.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2023/11/뱅쇼iced_thumb-450x588.png"""
고구마라떼(HOT),463.0,71.0,0.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/고구마라떼_핫_450x558-450x588.png"""
고구마라떼(ICED),413.0,56.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/고구마라떼_아이스_450x558-450x588.png"""
고구마스무디,481.0,70.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/05/고구마스무디_아이스_450x558-450x588.png"""
꿀밤라떼(HOT),513.0,54.0,0.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/꿀밤라떼_핫_450x558-450x588.png"""
꿀밤라떼(ICED),436.0,50.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/꿀밤라떼_아이스_450x558-450x588.png"""
바나나 라떼(HOT),156.0,7.0,302.0,0,0,"https://paikdabang.com/wp-content/uploads/2023/03/바나나라떼HOT-450x588.png"""
바나나 라떼(ICED),154.0,7.0,295.0,0,1,"https://paikdabang.com/wp-content/uploads/2023/03/바나나라떼ICED-450x588.png"""
바나나 밀크쉐이크,216.0,5.0,380.0,0,1,"https://paikdabang.com/wp-content/uploads/2023/03/바나나밀크쉐이크ICED-450x588.png"""
아이스크러시 파인애플,384.0,94.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2023/05/icecrush_pine-450x588.png"""
아이스크러시 오렌지,441.0,102.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2023/05/icecrush_orange-450x588.png"""
아이스크러시 멜론,349.0,80.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2023/05/icecrush_melon-450x588.png"""
아이스크러시 콜라,448.0,104.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2023/05/icecrush_coke-450x588.png"""
우리포도주스,188.0,44.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2022/09/우리포도주스-450x588-450x588.png"""
제주감귤주스,237.0,41.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2024/01/제주감귤주스_thumb-450x588.png"""
블루캔디소다(ICED),225.0,52.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2022/05/블루캔디소다-450x588.png"""
초코라떼(HOT),342.0,45.0,15.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-완전초코-450x588.png"""
초코라떼(ICED),387.0,56.0,16.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-완전초코-450x588.png"""
녹차라떼(HOT),481.0,63.0,208.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-녹차라떼-1-450x588.png"""
녹차라떼(ICED),361.0,49.0,152.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-녹차라떼-2-450x588.png"""
민트초코라떼(HOT),413.0,58.0,30.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-민트초코라떼-450x588.png"""
민트초코라떼(ICED),498.0,43.0,38.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-민트초코라떼-450x588.png"""
토피넛라떼(HOT),411.0,19.0,51.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-토피넛라떼-450x588.png"""
토피넛라떼(ICED),469.0,16.0,51.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-토피넛라떼-450x588.png"""
블랙펄라떼(ICED),397.0,51.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/블랙펄라떼_-450x588.png"""
미숫가루,308.0,38.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/미숫가루-450x588.png"""
체리콕콕(ICED),290.0,72.0,23.0,0,1,"https://paikdabang.com/wp-content/uploads/2023/03/체리콕콕-450x588.png"""
밀크티(HOT),313.0,35.0,133.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-밀크티-450x588.png"""
밀크티(ICED),353.0,37.0,133.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-밀크티-450x588.png"""
블랙펄밀크티(ICED),513.0,60.0,77.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/블랙펄밀크티-450x588.png"""
페퍼민트티(HOT),1.0,0,0,0,0,"https://paikdabang.com/wp-content/uploads/2021/07/HOT-페퍼민트티-450x588.png"""
페퍼민트티(ICED),1.0,0,0,0,1,"https://paikdabang.com/wp-content/uploads/2021/07/ICED-페퍼민트티-450x588.png"""
황금캐모마일티(HOT),7.0,0.0,0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-황금캐모마일티-450x588.png"""
황금캐모마일티(ICED),8.0,0.0,0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-황금캐모마일티-450x588.png"""
깔라만시티(HOT),268.0,66.0,0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/깔라만시티-450x588.png"""
깔라만시티(ICED),243.0,59.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2023/04/깔라만시티-450x588.png"""
달콤아이스티,267.0,63.0,51.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/달콤아이스티-450x588.png"""
레몬티(HOT),272.0,66.0,0.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-레몬티-450x588.png"""
레몬티(ICED),277.0,67.0,0.0,0,1,"https://paikdabang.com/wp-content/uploads/2018/06/ICED-레몬티-450x588.png"""
피치우롱스위티(HOT),150.0,35.0,65.0,0,0,"https://paikdabang.com/wp-content/uploads/2018/06/HOT-피치우롱스위티-1-450x588.png"""
