메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
샤인파인케일주스,234.0,50.0,9.2,0,1,https://composecoffee.com/files/thumbnails/489/018/384x530.crop.jpg?t=1705464816
딸기스무디,510.4,103.55,9.2,0,1,https://composecoffee.com/files/thumbnails/267/384x530.crop.jpg?t=1705464900
망고스무디,410.12,61.16,9.2,0,1,https://composecoffee.com/files/thumbnails/269/384x530.crop.jpg?t=1705464919
블루베리스무디,314.09,54.13,9.2,0,1,https://composecoffee.com/files/thumbnails/271/384x530.crop.jpg?t=1705464936
유자스무디,268.0,57.1,9.2,0,1,https://composecoffee.com/files/thumbnails/480/018/384x530.crop.jpg?t=1705464962
플레인요거트스무디,445.83,81.5,9.2,0,1,https://composecoffee.com/files/thumbnails/279/384x530.crop.jpg?t=1705464979
블루베리요거트스무디,449.8,84.0,9.2,0,1,https://composecoffee.com/files/thumbnails/079/072/384x530.crop.jpg?t=1705464995
딸기요거트스무디,437.3,82.1,9.2,0,1,https://composecoffee.com/files/thumbnails/273/384x530.crop.jpg?t=1705465012
망고요거트스무디,455.9,82.89,9.2,0,1,https://composecoffee.com/files/thumbnails/275/384x530.crop.jpg?t=1705465027
HOT 복숭아티,199.0,47.5,9.2,0,0,https://composecoffee.com/files/thumbnails/307/384x530.crop.jpg?t=1705465124
ICE 복숭아티,199.0,47.5,9.2,0,1,https://composecoffee.com/files/thumbnails/672/038/384x530.crop.jpg?t=1705465141
HOT 자몽허니블랙티,255.8,59.0,9.2,0,0,https://composecoffee.com/files/thumbnails/476/018/384x530.crop.jpg?t=1705465166
ICE 자몽허니블랙티,242.4,55.6,9.2,0,1,https://composecoffee.com/files/thumbnails/676/038/384x530.crop.jpg?t=1705465189
HOT 페퍼민트,0.0,0.0,9.2,0,0,https://composecoffee.com/files/thumbnails/815/038/384x530.crop.jpg?t=1705465223
ICE 페퍼민트,0.0,0.0,9.2,0,1,https://composecoffee.com/files/thumbnails/797/038/384x530.crop.jpg?t=1705465243
HOT 캐모마일,0.0,0.0,9.2,0,0,https://composecoffee.com/files/thumbnails/813/038/384x530.crop.jpg?t=1705465263
ICE 캐모마일,0.0,0.0,9.2,0,1,https://composecoffee.com/files/thumbnails/795/038/384x530.crop.jpg?t=1705465284
HOT 로즈마리,0.0,0.0,9.2,0,0,https://composecoffee.com/files/thumbnails/811/038/384x530.crop.jpg?t=1705465308
ICE 로즈마리,0.0,0.0,9.2,0,1,https://composecoffee.com/files/thumbnails/793/038/384x530.crop.jpg?t=1705465327
HOT 얼그레이,0.0,0.0,9.2,0,0,https://composecoffee.com/files/thumbnails/809/038/384x530.crop.jpg?t=1705465371
ICE 얼그레이,0.0,0.0,9.2,0,1,https://composecoffee.com/files/thumbnails/791/038/384x530.crop.jpg?t=1705465387
