메뉴,칼로리(Kcal),당류(g),카페인(mg),커피 포함,hot/ice,photo
한라봉주스 190ML,88,20,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/03/[5210008055]_20230331142558998.jpg
망고주스 190ML,117,23,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5210008061]_20210426095229362.jpg
블루베리 요거트 190ML,155,18,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5210008063]_20210419104847612.jpg
딸기주스 190ML,110,25,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5210008070]_20210426095034991.jpg
케일&사과주스 190ML,105,26,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[5210008072]_20210426100712780.jpg
시그니처 핫 초콜릿,500,52,15,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[72]_20210415140949967.jpg
콜드 브루,5,0,155,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000038]_20210430113202458.jpg
자몽 허니 블랙 티,125,30,70,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000187]_20210419131229539.jpg
아이스 자몽 허니 블랙 티,125,30,30,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000190]_20210419131723532.jpg
유스베리 티,0,0,20,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000226]_20210415144434521.jpg
아이스 유스베리 티,0,0,20,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000229]_20210415142219481.jpg
슈크림 라떼,297,35,75,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2024/02/[9200000000415]_20240221082443262.jpg
아이스 슈크림 라떼,241,30,75,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2024/02/[9200000000418]_20240221082842438.jpg
나이트로 콜드 브루,5,0,245,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000479]_20210426091843897.jpg
바닐라 크림 콜드 브루,125,11,155,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000000487]_20210430112319040.jpg
제주 까망 라떼,445,49,0,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2020/09/[9200000001301]_20200921171639781.jpg
아이스 제주 까망 라떼,440,45,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2020/09/[9200000001302]_20200921171804529.jpg
클래식 아포가토,240,18,210,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001631]_20210225090916684.jpg
콜드 브루 플로트,225,18,190,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001635]_20210225092236748.jpg
콜드 브루 몰트,505,41,190,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001636]_20210225093600536.jpg
바닐라 빈 라떼,245,27,210,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001939]_20210225094313315.jpg
아이스 바닐라 빈 라떼,155,20,210,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000001941]_20210225094346653.jpg
돌체 콜드 브루,265,29,155,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002081]_20210415133656839.jpg
제주 까망 크림 프라푸치노,600,79,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2020/09/[9200000002088]_20200921171733532.jpg
제주 쑥떡 크림 프라푸치노,460,57,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/03/[9200000002090]_20220329144732789.jpg
리저브 콜드 브루,5,0,190,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000002093]_20210225094415504.jpg
사케라또 비안코 오버 아이스,270,14,315,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000002095]_20210225095033382.jpg
화이트 타이거 프라푸치노,410,57,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002403]_20210419131548656.jpg
바닐라 플랫 화이트,220,23,260,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002406]_20210415135507733.jpg
리저브 나이트로,5,0,190,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/02/[9200000002407]_20210225095106743.jpg
나이트로 바닐라 크림,80,10,232,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002487]_20210426091745467.jpg
제주 말차 라떼,205,20,60,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002496]_20210419131039350.jpg
아이스 제주 말차 라떼,155,16,60,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002499]_20210419130902541.jpg
제주 말차 크림 프라푸치노,230,28,60,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002502]_20210426100408048.jpg
플러피 판다 핫 초콜릿,470,48,0,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002594]_20210422080327783.jpg
제주 비자림 콜드 브루,360,39,305,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/03/[9200000002672]_20220311105511600.jpg
블론드 바닐라 더블 샷 마키아또,315,31,170,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002950]_20210426150654756.jpg
아이스 블론드 바닐라 더블 샷 마키아또,195,22,170,1,0,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000002953]_20210427132718157.jpg
유자 민트 티,235,58,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/[9200000002956]_20220411155551915.jpg
아이스 유자 민트 티,145,37,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/[9200000002959]_20220411155904911.jpg
돌체 블랙 밀크 티,250,34,60,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2022/02/[9200000002963]_20220203082330522.jpg
아이스 돌체 블랙 밀크 티,210,31,35,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/02/[9200000002966]_20220203082502987.jpg
딸기 딜라이트 요거트 블렌디드,370,57,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003276]_20210416154001403.jpg
오트 콜드 브루,120,14,65,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003285]_20210416154437069.jpg
사케라또 아포가토,290,30,210,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/03/[9200000003505]_20210322093241535.jpg
스파클링 시트러스 에스프레소,65,15,105,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/03/[9200000003506]_20210322093317854.jpg
플러피 판다 아이스 초콜릿,415,39,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003658]_20210422080248176.jpg
스타벅스 슬래머,235,55,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2021/04/[9200000003659]_20210428134252131.jpg
시그니처 더 블랙 콜드 브루,25,0,680,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000003661]_20230721170207026.jpg
딸기 아사이 레모네이드 스타벅스 리프레셔,105,24,30,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/07/[9200000004753]_20230720103623021.jpg
라벤더 카페 브레베,400,30,105,0,0,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/[9200000004119]_20220412083026158.png
아이스 라벤더 카페 브레베,335,27,105,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/04/[9200000004120]_20220412082952470.png
유자 패션 피지오,145,36,0,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/05/[9200000004121]_20220517102911830.jpg
얼 그레이 바닐라 티 라떼,295,26,55,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/01/[9200000004285]_20230118084943298.jpg
아이스 얼 그레이 바닐라 티 라떼,275,24,29,0,1,https://image.istarbucks.co.kr/upload/store/skuimg/2023/01/[9200000004288]_20230118085139758.jpg
민트 콜드 브루,100,23,415,1,1,https://image.istarbucks.co.kr/upload/store/skuimg/2022/10/[9200000004312]_20221005145029298.jpg
